Legal Name,Contract Name,Services Included in Services Contract,Name of Services Contract,Vubiquity Party to Service(s) Contract,Territory(ies) Included in Contract,Applicable Countries,Territory Notes
Metrodome Distribution Limited (FilmFlex),Metrodome(FilmFlex) - Amdt 1 2010 Amded & Restated Contnt Licen Agrmt - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of lreland, the Channel Islands and the Isle of Man."
Metrodome Distribution Limited (FilmFlex),MetroDome(FilmFlex) - Amt 2 2012 Amded & Restated Content Licen Agrmt - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The Territory for which the Rights are granted under this Agreement shall be the
United Kingdom, the Republic of lreland, the Channel Islands and the Isle of Man."
MGM International Television Distribution Inc.,MGM - 2012 SVOD Term Sheet - Services,SVOD,Term Sheet (binding),ODM,"Caribbean, LATAM",,
MGM International Television Distribution Inc (FilmFlex),MGM (FilmFlex) - 2013 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The United Kingdom, the Republic of Ireland, the Channel Islands
and the Isle of Man (the ""Territory"")."
MGM International Television Distribution Inc (FilmFlex),MGM (FilmFlex) - Amendment #1 to 2013 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The United Kingdom, the Republic of Ireland, the Channel Islands
and the Isle of Man (the ""Territory"")."
MGM International Television Distribution Inc (FilmFlex),MGM (FilmFlex) - Amendment #2 to 2013 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,FilmFlex,Europe,,"The United Kingdom, the Republic of Ireland, the Channel Islands
and the Isle of Man (the ""Territory"")."
MGM International Television Distribution Inc (Multi-Territory - PPV/TVOD),MGM (Multi) - 2016 PPV/TVOD Content Services Agreement - Services,"PPV, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, Caribbean, Europe, LATAM","AFRICA:Algeria, AFRICA:Angola, AFRICA:Botswana, AFRICA:Democratic Republic of the Congo, AFRICA:Egypt, AFRICA:Ghana, AFRICA:Kenya, AFRICA:Lesotho, AFRICA:Madagascar, AFRICA:Morocco, AFRICA:Mozambique, AFRICA:Nigeria, AFRICA:Rwanda, AFRICA:Seychelles, AFRICA:South Africa, AFRICA:Swaziland, AFRICA:Uganda, AFRICA:Tanzania, AFRICA:Tunisia, AFRICA:Zambia, AFRICA:Zimbabwe, ASIA:Bahrain, ASIA:Cyprus, ASIA:Jordan, ASIA:Kuwait, ASIA:Maldives, ASIA:Oman, ASIA:Qatar, ASIA:Saudi Arabia, ASIA:United Arab Emirates, CARIB:Bermuda, CARIB:Dominican Republic, CARIB:Jamaica, CARIB:Saint Lucia, CARIB:Trinidad and Tobago, EUR:Bosnia and Herzegovina, EUR:Bulgaria, EUR:Croatia, EUR:Greece, EUR:Ireland, EUR:Macedonia, EUR:Malta, EUR:Montenegro, EUR:Serbia, EUR:Slovenia, EUR:United Kingdom, LATAM:Argentina, LATAM:Brazil, LATAM:Chile, LATAM:Colombia, LATAM:Costa Rica, LATAM:Mexico, LATAM:Panama, LATAM:Paraguay, LATAM:Uruguay","Algeria, Angola, Argentina, Bahrain, Bermuda, Bosnia, Botswana, Brazil, Bulgaria, Chile, Colombia, Costa Rica, Croatia, Cyprus, Dominican Republic, DRC, Egypt, Ireland, Ivory Coast, Jamaica, Jordan, Kenya, Kuwait, Ghana, Greece, Lesotho, Madagascar, Malta, Macedonia, Maldives, Mexico, Montenegro, Morocco, Mozambique, Nigeria, Oman, Panama, Paraguay, Qatar, Rwanda, Saint Lucia, Saudi Arabia, Serbia, Seychelles, Slovenia, South Africa, Swaziland, Tanzania, Trinidad and Tobago, Tunisia, Uganda, United Arab Emirates, United Kingdom, Uruguay, Zambia, Zimbabwe. Each of the above a ""Country"" and collectively referred to as the Territory; provided, however, that ""Territory"" with respect to any Licensed Programs that are Library titles (if any - see Section 7) shall mean only the United Kingdom and Ireland."
MGM International Television Distribution (ODD - TVOD),MGM (ODD) - 2016 TVOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,"Europe, GAS","EUR:Luxembourg, GAS:Austria, GAS:Germany, GAS:Liechtenstein, GAS:Switzerland",
MGM International Television Distribution Inc (UK - EST),MGM (UK) - 2018 EST Content License Agreement - Services,EST,z_VOD Content License Agreement,Vubiquity Management Limited,Europe,"EUR:Ireland, EUR:Isle of Man, EUR:United Kingdom","""Territory'' means England, Scotland, Wales, Northern Ireland, ROI, Isle of Man & Channel Islands."
MGM International Television Distribution Inc (SVOD - Multi-Territory),MGM Intl - 2014 SVOD Content License Agreement - Services,SVOD,Term Sheet (non-binding),Vubiquity Management Limited,"Africa, Asia, Europe, SEE, Turkey",,"The ""Territory"" shall mean Bahrain; Bosnia & Herzegovina; Bulgaria; Croatia; Cyprus; Egypt, Ghana; Greece; Hungary; Jordan; the Kingdom of Saudi Arabia; Kuwait; Libya; Macedonia: Malta; Montenegro; Morocco; Nigeria; Oman; Qatar; Romania; Serbia; Slovenia; South Africa; Swaziland; Tunisia; Turkey, including Turkish-Speaking Cyprus; the Turkic Republics (Azerbaijan,  Kazakhstan, Kyrgyzstan, Turkmenistan, Uzbekistan); Uganda; the United Arab Emirates;
Zambia; and Zimbabwe, unless otherwise specified in Exhibit A
"
MGM International Television Distribution Inc (SVOD - Multi-Territory),MGM Intl - Amdt #1 to  2014 SVOD Content License Agreement - Services,SVOD,Term Sheet (non-binding),Vubiquity Management Limited,"Africa, Asia, Europe, SEE, Turkey",,"The ""Territory"" shall mean Bahrain; Bosnia & Herzegovina; Bulgaria; Croatia; Cyprus; Egypt, Ghana; Greece; Hungary; Jordan; the Kingdom of Saudi Arabia; Kuwait; Libya; Macedonia: Malta; Montenegro; Morocco; Nigeria; Oman; Qatar; Romania; Serbia; Slovenia; South Africa; Swaziland; Tunisia; Turkey, including Turkish-Speaking Cyprus; the Turkic Republics (Azerbaijan,  Kazakhstan, Kyrgyzstan, Turkmenistan, Uzbekistan); Uganda; the United Arab Emirates;
Zambia; and Zimbabwe, unless otherwise specified in Exhibit A
"
MGM International Television Distribution Inc (SVOD - Multi-Territory),MGM Intl - Amdt #2 to  2014 SVOD Content License Agreement - Services,SVOD,Term Sheet (non-binding),Vubiquity Management Limited,"Africa, Asia, Europe, SEE, Turkey",,"The ""Territory"" shall mean Bahrain; Bosnia & Herzegovina; Bulgaria; Croatia; Cyprus; Egypt, Ghana; Greece; Hungary; Jordan; the Kingdom of Saudi Arabia; Kuwait; Libya; Macedonia: Malta; Montenegro; Morocco; Nigeria; Oman; Qatar; Romania; Serbia; Slovenia; South Africa; Swaziland; Tunisia; Turkey, including Turkish-Speaking Cyprus; the Turkic Republics (Azerbaijan,  Kazakhstan, Kyrgyzstan, Turkmenistan, Uzbekistan); Uganda; the United Arab Emirates;
Zambia; and Zimbabwe, unless otherwise specified in Exhibit A

Per Amdt#2 - Algeria is added to approved territories.
"
"Miramax, LLC (SVOD/TVOD - LatinAm)",Miramax - Amendment 1 to License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Caribbean, LATAM",,"Territory is Latin America. Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory""). The Territory may only be extended by the written agreement of the parties."
"Miramax, LLC (SVOD/TVOD - LatinAm)",Miramax - Amendment 2 to License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Caribbean, LATAM, United States",,"Territory is Latin America. Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory""). The Territory may only be extended by the written agreement of the parties."
"Miramax, LLC (SVOD/TVOD - LatinAm)",Miramax - Amendment 3 to License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,ODM,"Caribbean, LATAM, United States",,"Territory is Latin America. Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory""). The Territory may only be extended by the written agreement of the parties."
"Miramax, LLC (SVOD/TVOD - LatinAm)",Miramax - Amendment 4 to License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM, United States",,"Territory is Latin America. Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory""). The Territory may only be extended by the written agreement of the parties."
"Miramax, LLC (SVOD/TVOD - LatinAm)",Miramax - Amendment 5 to License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM, United States",,"Per Amdt#4""TERRITORY: For Years 1 through 4 the Territory shall be: Latin America. Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British VIrgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico,
Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela {collectively, the ""Territory""). The Territory may only be extended by the written agreement of the parties.

For Year 5 the Territory shall be:
Anguilla, Antigua and Barbuda, Argentina, Aruba, Barbados, Belize, Bolivia,
Bonaire, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica,
Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Guiana,
Grenada, Guadeloupe, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique,
Mexico, Montserrat, Nicaragua, Panama, Paraguay, Peru, Saba, Saint Barthelemy,
Saint Eustatlus, Saint Kitts and Nevis, Saint Lucia, Saint Maarten (Dut.), Saint
Vincent and the Grenadines, Suriname, Trinidad and Tobago, Turks and Calcos
Islands, Uruguay, Venezuela.""




 Latin America. Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory""). The Territory may only be extended by the written agreement of the parties."
"Miramax, LLC (SVOD/TVOD - LatinAm)",Miramax - Amendment 6 to License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM, United States",,"Per Amdt#6: Section 5- Territory the following shall be added: «For Year 6 of the Tem1, the Territoxy shall be Brazil, Mexico and Uruguay only.""

Per Amdt#4""TERRITORY: For Years 1 through 4 the Territory shall be: Latin America. Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British VIrgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico,
Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela {collectively, the ""Territory""). The Territory may only be extended by the written agreement of the parties.

For Year 5 the Territory shall be:
Anguilla, Antigua and Barbuda, Argentina, Aruba, Barbados, Belize, Bolivia,
Bonaire, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica,
Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Guiana,
Grenada, Guadeloupe, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique,
Mexico, Montserrat, Nicaragua, Panama, Paraguay, Peru, Saba, Saint Barthelemy,
Saint Eustatlus, Saint Kitts and Nevis, Saint Lucia, Saint Maarten (Dut.), Saint
Vincent and the Grenadines, Suriname, Trinidad and Tobago, Turks and Calcos
Islands, Uruguay, Venezuela.""




 Latin America. Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory""). The Territory may only be extended by the written agreement of the parties."
"Miramax, LLC (SVOD/TVOD - LatinAm)",Miramax - License Agreement - Services,SVOD,z_VOD Content License Agreement,ODM,"Caribbean, LATAM",,"Territory is Latin America. Latin America is defined as Anguilla Islands, Antigua & Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Brazil, British Virgin Islands, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Curacao, Dominica, Dominican Republic, Ecuador, El Salvador, French Antilles (Zeus Only), French Guiana, French West Indies, Grenada, Grenadines Islands, Guadeloupe, Guam, Guatemala, Guyana, Haiti, Honduras, Jamaica, Martinique, Mexico, Montserrat, Netherland Antilles, Nicaragua, Panama, Paraguay, Peru, St. Kitts & Nevis, St. Lucia, St. Martin, St. Vincent Island, Suriname, Trinidad & Tobago, Turks & Caicos Islands, Uruguay, Venezuela (collectively, the ""Territory""). The Territory may only be extended by the written agreement of the parties."
Miramax LLC (SVOD - Africa),Miramax (Africa) - 2014 VOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"French-speaking Morocco, French Polynesia, English-speaking Nigeria South Africa, Ivory Coast, Ghana, Kenya, Zambia, Zimbabwe, Rwanda and Uganda(collectively, the ""Territory''). The Territory may only be extended by the written agreement of the parties. Notwithstanding the foregoing, the Territory for the Licensed Program ""Hero"" shall not include Rwanda."
Miramax LLC (SVOD - Africa),Miramax (Africa) - Amendment #1 to 2014 VOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"French-speaking Morocco, French Polynesia, English-speaking Nigeria South Africa, Ivory Coast, Ghana, Kenya, Zambia, Zimbabwe, Rwanda and Uganda(collectively, the ""Territory''). The Territory may only be extended by the written agreement of the parties. Notwithstanding the foregoing, the Territory for the Licensed Program ""Hero"" shall not include Rwanda."
Miramax LLC (SVOD - Africa),Miramax (Africa) - Amendment #2 to 2014 VOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"French-speaking Morocco, French Polynesia, English-speaking Nigeria South Africa, Ivory Coast, Ghana, Kenya, Zambia, Zimbabwe, Rwanda and Uganda(collectively, the ""Territory''). The Territory may only be extended by the written agreement of the parties. Notwithstanding the foregoing, the Territory for the Licensed Program ""Hero"" shall not include Rwanda."
Miramax LLC (SVOD - Africa),Miramax (Africa) - Amendment #3 to 2014 VOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"French-speaking Morocco, French Polynesia, English-speaking Nigeria South Africa, Ivory Coast, Ghana, Kenya, Zambia, Zimbabwe, Rwanda and Uganda(collectively, the ""Territory''). The Territory may only be extended by the written agreement of the parties. Notwithstanding the foregoing, the Territory for the Licensed Program ""Hero"" shall not include Rwanda."
Miramax LLC (SVOD - Africa),Miramax (Africa) - Amendment #4 to 2014 VOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"French-speaking Morocco, French Polynesia, English-speaking Nigeria South Africa, Ivory Coast, Ghana, Kenya, Zambia, Zimbabwe, Rwanda and Uganda(collectively, the ""Territory''). The Territory may only be extended by the written agreement of the parties. Notwithstanding the foregoing, the Territory for the Licensed Program ""Hero"" shall not include Rwanda."
Miramax LLC (SVOD - Africa),Miramax (Africa) - Amendment #5 to 2014 VOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"French-speaking Morocco, French Polynesia, English-speaking Nigeria South Africa, Ivory Coast, Ghana, Kenya, Zambia, Zimbabwe, Rwanda and Uganda(collectively, the ""Territory''). The Territory may only be extended by the written agreement of the parties. Notwithstanding the foregoing, the Territory for the Licensed Program ""Hero"" shall not include Rwanda."
Miramax LLC (SVOD - Africa),Miramax (Africa) - Amendment #6 to 2014 VOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"French-speaking Morocco, French Polynesia, English-speaking Nigeria South Africa, Ivory Coast, Ghana, Kenya, Zambia, Zimbabwe, Rwanda and Uganda(collectively, the ""Territory''). The Territory may only be extended by the written agreement of the parties. Notwithstanding the foregoing, the Territory for the Licensed Program ""Hero"" shall not include Rwanda."
"Miramax, LLC (SVOD - France)",Miramax (France) - SVOD Licensing Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, DOMTOM, Europe",,"France, French-speaking Morocco, French Polynesia, and French-speaking Senegal. With respect to the Licensed Program ""The Boys Are Back"" only, the Territory shall not include French Polynesia. "
"Miramax, LLC (SVOD - SEE)",Miramax (SEE) - 2013 SVOD Licensing Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,SEE,,"Greece, Malta, Cyprus, Serbia, Slovenia, Croatia, Bosnia, Bulgaria, Israel, Montenegro, and Macedonia."
Mondo TV S.p.A.,Mondo TV - 2011 VOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,ODM,"Europe, MENA, SEE",,
Monkeywrench Films LLC,Monkeywrench - 2019 SVOD Content License Agreement - Services,SVOD,Content License Agreement,Vubiquity Management Limited,"Africa, Asia",ASIA:Israel,
Monte Cablevideo S.A.,Monte Cablevideo - Carriage and Service Agreement - Services,"Content Processing, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,LATAM,LATAM:Uruguay,
MOOBOO TECH TECNOLOGIA E INOVACAO LIMITED,Mooboo Tech aka Box Brasil - VOD International Sales Order - Services,"Content Processing, EST, SVOD, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,LATAM,LATAM:Brazil,
"Motion Pictures Distribution, SL",Motion Pictures Distribution - License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, Caribbean, DOMTOM, LATAM, SEE",,
"Motion Pictures Distribution, SL",Motion Pictures Distribution - License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, Caribbean, DOMTOM, LATAM, SEE",,
Aximus Media,Mountain View - 2010 VOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,OD Deutchland,GAS,,
Aximus Media,Mountain View - Amendment #1 to 2010 VOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,OD Deutchland,,,
The Movie Partnership Limited (FilmFlex),Movie Ptr (Vu/FF) - 2016 VOD/EST Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Caribbean, Europe, LATAM, MENA, Oceania, SEE",,
Moving Turtle SAL (Off Shore),Moving Turtle - 2016 EST/VOD Content License Agreement - Services,"EST, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,"Africa, Asia",,"UAE
• Oman
• Qatar
• Kuwait
• Saudi Arabia
• Iraq
• Sudan
• Jordan
• Lebanon
• Bahrain
• South Sudan
• Morocco
• Algeria
• Tunisia
• Egypt"
Moving Turtle SAL (Off Shore),Moving Turtle - Amdt#1 to 2016 EST/VOD Content License Agreement - Services,"EST, TVOD",z_VOD Services Agreement,Vubiquity Management Limited,"Africa, Asia",,"UAE
• Oman
• Qatar
• Kuwait
• Saudi Arabia
• Iraq
• Sudan
• Jordan
• Lebanon
• Bahrain
• South Sudan
• Morocco
• Algeria
• Tunisia
• Egypt"
MTV Networks (AFRICA),MTV (Africa) - 2017 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,
MTV Networks (AFRICA),MTV (Africa) - Amdt#1 to 2017 SVOD Content License Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,
MTV Networks Latin America Inc,MTV (Latam) - 2013 VOD/SVOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"shall mean the following regions/countries and each of their respective territories, possessions, commonwealths, trusteeships, and protectorates: Mexico; Central America, including solely Belize, Costa Rica, Guatemala, EI Salvador, Honduras, Nicaragua and Panama; South America, including solely Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, French Guyana, Guyana, Paraguay, Peru, Surinam, Uruguay and Venezuela; and The Caribbean Basin Islands, including solely Anguilla, Antigua, Barbuda, Bonaire, Aruba, Bahamas, Barbados, Bermuda, British Virgin Islands, Cayman Islands, Collectivity of St. Martin, Curacao, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti, Jamaica, Martinique, Montserrat, Saba, St. Barthelemy, St. Eustatius, St. Kitts and Nevis, St. Lucia, St. Maarten, St. Vincent and the Grenadines, Saint Maarten, Trinidad, Tobago, and the Turk and Caicos Islands, and, for regions/countries within The Caribbean Basin, any successor countries and states of those same regions/countries listed above (collectively, the ""Successor Countries""), provided that such Successor Countries do not include any geographic territorial land area that was not part the Territory as of the Effective Date."
MTV Networks Latin America Inc,MTV (Latam) - Amndt #1 to 2013 VOD/SVOD Content License Agreement - Services,"SVOD, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,"shall mean the following regions/countries and each of their respective territories, possessions, commonwealths, trusteeships, and protectorates: Mexico; Central America, including solely Belize, Costa Rica, Guatemala, EI Salvador, Honduras, Nicaragua and Panama; South America, including solely Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, French Guyana, Guyana, Paraguay, Peru, Surinam, Uruguay and Venezuela; and The Caribbean Basin Islands, including solely Anguilla, Antigua, Barbuda, Bonaire, Aruba, Bahamas, Barbados, Bermuda, British Virgin Islands, Cayman Islands, Collectivity of St. Martin, Curacao, Dominica, Dominican Republic, Grenada, Guadeloupe, Haiti, Jamaica, Martinique, Montserrat, Saba, St. Barthelemy, St. Eustatius, St. Kitts and Nevis, St. Lucia, St. Maarten, St. Vincent and the Grenadines, Saint Maarten, Trinidad, Tobago, and the Turk and Caicos Islands, and, for regions/countries within The Caribbean Basin, any successor countries and states of those same regions/countries listed above (collectively, the ""Successor Countries""), provided that such Successor Countries do not include any geographic territorial land area that was not part the Territory as of the Effective Date."
Universal Studios International B.V (ODD),NBC (Europe) - Amndt# 1 to 2015 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,"Europe, GAS",,"""Territory"" means Germany, Austria, Switzerland, Luxembourg and Liechtenstein."
Universal Studios International B.V (ODD),NBC (Europe) - Amndt#2 to 2015 VOD Content License Agreement - Services,TVOD,z_VOD Content License Agreement,OD Deutchland,"Europe, GAS",,"""Territory"" means Germany, Austria, Switzerland, Luxembourg and Liechtenstein."
Universal Studios International B.V (Africa - VOD) ,NBCU (Africa) - Amdt1 to 2017 EST/VOD Content License Agreement - Services,"EST, TVOD",z_VOD Content License Agreement,Vubiquity Management Limited,Africa,,"'Territory""means Ghana, Kenya, Nigeria, Seychelles, South Africa, Zambia, Zimbabwe. 


"
Nelvana International Limited (Africa/MENA),Nelvana - 2014 SVOD Content Licensing Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, MENA",,"South Africa, Nigeria, Botswana, Kenya, Rwanda, Zimbabwe, United
Arab Emirates, Qatar, and Morocco, subject to paragraph 2(1)."
Nelvana International Limited (SVOD - Israel),Nelvana - 2014 SVOD Content Licensing Agreement - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,Asia,ASIA:Israel,Israel
Nelvana International Limited,Nelvana - 2015 SVOD Content License Agrmt - Latam/Carib - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Caribbean, LATAM",,
Nelvana International Limited,Nelvana - 2015 SVOD Content License Agrmt - Multi-Territory - Services,SVOD,z_VOD Content License Agreement,Vubiquity Management Limited,"Africa, Asia, Caribbean, LATAM",,
